timestamp,camera_id,student_id,class,priority,confidence,avg_confidence,risk_score,photo_number,description
20251127_180639,1,0,phone,1,0.84,0.84,84,1,Mobile phone usage
20251127_180651,1,0,earphone,1,0.45,0.83,83,1,Earphone/earbud detected
20251127_180651,1,0,earphone,1,0.37,0.49,49,2,Earphone/earbud detected
20251127_180700,1,0,phone,1,0.59,0.40,40,1,Mobile phone usage
20251128_144358,1,0,phone,1,0.90,0.90,90,1,Mobile phone usage
20251128_164000,3,0,earphone,1,0.66,0.66,66,1,Earphone/earbud detected
20251128_164020,1,0,phone,1,0.57,0.44,44,1,Mobile phone usage
20251128_164023,3,0,phone,1,0.66,0.66,66,1,Mobile phone usage
20251128_164020,1,0,phone,1,0.54,0.44,44,2,Mobile phone usage
20251128_164023,3,0,phone,1,0.87,0.84,84,2,Mobile phone usage
20251128_164023,3,0,phone,1,0.94,0.83,83,3,Mobile phone usage
20251128_164152,2,0,earphone,1,0.43,0.43,43,1,Earphone/earbud detected
20251128_164208,3,0,phone,1,0.63,0.51,51,1,Mobile phone usage
20251128_164213,2,0,phone,1,0.51,0.39,39,1,Mobile phone usage
20251128_164219,3,0,phone,1,0.87,0.61,61,1,Mobile phone usage
20251128_164219,3,0,phone,1,0.61,0.68,68,2,Mobile phone usage
20251128_164219,3,0,phone,1,0.71,0.66,66,3,Mobile phone usage
20251128_164223,2,0,phone,1,0.54,0.40,40,1,Mobile phone usage
20251128_164235,2,0,earphone,1,0.38,0.42,42,1,Earphone/earbud detected
20251128_164236,3,0,phone,1,0.48,0.58,58,1,Mobile phone usage
20251128_164238,2,0,phone,1,0.65,0.43,43,1,Mobile phone usage
20251128_164236,3,0,phone,1,0.63,0.53,53,2,Mobile phone usage
20251128_164255,2,0,phone,1,0.48,0.46,46,1,Mobile phone usage
20251128_164255,3,0,phone,1,0.59,0.57,55,1,Mobile phone usage
20251128_164255,2,0,phone,1,0.71,0.54,54,2,Mobile phone usage
20251128_164255,3,0,phone,1,0.87,0.69,69,2,Mobile phone usage
20251128_164255,2,0,phone,1,0.75,0.66,66,3,Mobile phone usage
20251128_164255,3,0,phone,1,0.85,0.80,80,3,Mobile phone usage
20251128_164317,3,0,phone,1,0.54,0.85,85,1,Mobile phone usage
20251128_164317,2,0,phone,1,0.70,0.71,71,1,Mobile phone usage
20251128_164317,2,0,phone,1,0.58,0.67,67,2,Mobile phone usage
20251128_164317,3,0,phone,1,0.66,0.82,82,2,Mobile phone usage
20251128_164402,1,0,phone,1,0.49,0.39,40,1,Mobile phone usage
20251128_164403,3,0,phone,1,0.77,0.81,77,1,Mobile phone usage
20251128_164402,1,0,phone,1,0.61,0.39,39,2,Mobile phone usage
20251128_164402,1,0,phone,1,0.56,0.41,41,3,Mobile phone usage
20251128_164414,1,0,phone,1,0.81,0.44,45,1,Mobile phone usage
20251128_164414,1,0,phone,1,0.89,0.54,55,2,Mobile phone usage
20251128_164414,1,0,phone,1,0.58,0.52,53,3,Mobile phone usage
20251128_164419,1,0,earphone,1,0.34,0.51,52,1,Earphone/earbud detected
20251128_164419,1,0,earphone,1,0.35,0.54,54,2,Earphone/earbud detected
20251128_164424,1,0,phone,1,0.79,0.65,65,1,Mobile phone usage
20251128_164419,1,0,earphone,1,0.34,0.61,61,3,Earphone/earbud detected
20251128_164431,2,0,phone,1,0.50,0.55,41,1,Mobile phone usage
20251128_164433,3,0,phone,1,0.55,0.74,55,1,Mobile phone usage
20251128_164431,2,0,phone,1,0.47,0.54,41,2,Mobile phone usage
20251128_164433,3,0,phone,1,0.59,0.71,46,2,Mobile phone usage
20251128_164433,3,0,phone,1,0.47,0.62,44,3,Mobile phone usage
20251128_164431,2,0,phone,1,0.61,0.40,40,3,Mobile phone usage
20251128_164444,2,0,phone,1,0.54,0.41,41,1,Mobile phone usage
20251128_164451,3,0,phone,1,0.57,0.47,43,1,Mobile phone usage
20251128_164444,2,0,phone,1,0.53,0.41,41,2,Mobile phone usage
20251128_164451,3,0,phone,1,0.48,0.45,45,2,Mobile phone usage
20251128_164444,2,0,phone,1,0.65,0.43,43,3,Mobile phone usage
20251128_164455,2,0,phone,1,0.58,0.43,43,1,Mobile phone usage
20251128_164451,3,0,phone,1,0.77,0.48,48,3,Mobile phone usage
