epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,261.114,1.63879,1.51189,1.46772,0.68552,0.64993,0.68607,0.4,1.45478,1.18657,1.48982,0.000302553,0.000302553,0.000302553
2,514.49,1.61013,1.15375,1.44443,0.71466,0.6485,0.69239,0.40786,1.45088,1.24225,1.52728,0.000593563,0.000593563,0.000593563
3,758.221,1.60771,1.12942,1.45233,0.79683,0.68632,0.75323,0.4396,1.39937,1.10854,1.44375,0.000872574,0.000872574,0.000872574
4,999.997,1.5765,1.07909,1.4279,0.78527,0.7399,0.7788,0.46618,1.35692,0.99239,1.41274,0.000855005,0.000855005,0.000855005
5,1243.04,1.55016,1.01727,1.41368,0.79108,0.76633,0.81202,0.50082,1.31226,0.9029,1.36825,0.000837007,0.000837007,0.000837007
6,1485.68,1.52516,0.97103,1.39791,0.79697,0.76955,0.81246,0.49801,1.30995,0.88126,1.36631,0.000819009,0.000819009,0.000819009
7,1727.37,1.50858,0.94427,1.38394,0.81006,0.78171,0.82298,0.51884,1.27653,0.84433,1.35846,0.000801011,0.000801011,0.000801011
8,1970.25,1.49414,0.92457,1.37941,0.8578,0.77931,0.85162,0.54003,1.23851,0.78076,1.32706,0.000783013,0.000783013,0.000783013
9,2212.34,1.47643,0.89978,1.36974,0.84097,0.78802,0.84503,0.53609,1.24646,0.75439,1.32732,0.000765014,0.000765014,0.000765014
10,2456.28,1.4588,0.87903,1.35732,0.82847,0.82323,0.86457,0.54767,1.22288,0.72346,1.31705,0.000747016,0.000747016,0.000747016
11,2697.74,1.45597,0.86705,1.35741,0.82929,0.82284,0.86106,0.55604,1.22358,0.71551,1.31552,0.000729018,0.000729018,0.000729018
12,2940.3,1.43815,0.84459,1.34567,0.84454,0.82402,0.85954,0.55648,1.21536,0.7021,1.3002,0.00071102,0.00071102,0.00071102
13,3181.33,1.43395,0.83508,1.34185,0.8332,0.82601,0.86398,0.56022,1.20648,0.69753,1.30592,0.000693022,0.000693022,0.000693022
14,3420.55,1.42022,0.81869,1.33279,0.8481,0.8373,0.86854,0.56545,1.19211,0.69026,1.29456,0.000675023,0.000675023,0.000675023
15,3655.24,1.41629,0.81346,1.33391,0.86196,0.82992,0.87292,0.5685,1.18783,0.67418,1.29093,0.000657025,0.000657025,0.000657025
16,3889.42,1.41326,0.80224,1.32549,0.87196,0.82974,0.86792,0.56983,1.18008,0.67734,1.28842,0.000639027,0.000639027,0.000639027
17,4124.76,1.4132,0.79635,1.32666,0.8764,0.84563,0.8855,0.58063,1.1795,0.64321,1.28791,0.000621029,0.000621029,0.000621029
18,4362.1,1.39429,0.78381,1.31986,0.85613,0.84263,0.87318,0.5793,1.16589,0.64862,1.2808,0.000603031,0.000603031,0.000603031
19,4597.58,1.38318,0.7767,1.313,0.88274,0.83058,0.87735,0.58438,1.16449,0.63122,1.27001,0.000585032,0.000585032,0.000585032
20,4833.41,1.37941,0.76756,1.31011,0.86991,0.84616,0.88362,0.59115,1.1466,0.63051,1.26582,0.000567034,0.000567034,0.000567034
21,5069.04,1.36454,0.76084,1.3052,0.87012,0.85825,0.89474,0.59413,1.14381,0.61415,1.26212,0.000549036,0.000549036,0.000549036
22,5305.56,1.36878,0.75578,1.30371,0.87091,0.86228,0.89356,0.59509,1.14938,0.6056,1.2628,0.000531038,0.000531038,0.000531038
23,5542.21,1.35153,0.7427,1.29508,0.88477,0.85229,0.8927,0.60203,1.1283,0.60078,1.25543,0.00051304,0.00051304,0.00051304
24,5784.92,1.3552,0.74064,1.29607,0.87391,0.85651,0.88943,0.59872,1.13039,0.60312,1.25614,0.000495041,0.000495041,0.000495041
25,6024.95,1.33754,0.73458,1.28674,0.88903,0.86538,0.89343,0.60295,1.13205,0.59267,1.25121,0.000477043,0.000477043,0.000477043
26,6267.06,1.3302,0.71774,1.28456,0.86945,0.87317,0.90425,0.60758,1.12843,0.58484,1.24916,0.000459045,0.000459045,0.000459045
27,6508.05,1.33336,0.71669,1.28526,0.88304,0.86927,0.90451,0.60918,1.12264,0.57483,1.24778,0.000441047,0.000441047,0.000441047
28,6750.17,1.32851,0.71422,1.27995,0.8623,0.8628,0.89101,0.60303,1.121,0.58094,1.25245,0.000423049,0.000423049,0.000423049
29,6988.83,1.32622,0.7068,1.28067,0.87679,0.87187,0.90082,0.61369,1.11169,0.56843,1.24471,0.00040505,0.00040505,0.00040505
30,7227.52,1.31504,0.70158,1.27293,0.87972,0.85484,0.8951,0.60907,1.11173,0.57457,1.24425,0.000387052,0.000387052,0.000387052
31,7467.91,1.30701,0.70173,1.26913,0.88433,0.86955,0.91149,0.61576,1.10606,0.56287,1.24029,0.000369054,0.000369054,0.000369054
32,7711.13,1.29968,0.69114,1.26804,0.87935,0.8702,0.90326,0.61494,1.10364,0.56452,1.24164,0.000351056,0.000351056,0.000351056
33,7950.27,1.30132,0.68799,1.26945,0.88147,0.8713,0.90404,0.6211,1.09478,0.55033,1.23638,0.000333058,0.000333058,0.000333058
34,8191.38,1.28718,0.68103,1.26077,0.88157,0.87062,0.90247,0.61917,1.10092,0.55054,1.24014,0.000315059,0.000315059,0.000315059
35,8431.29,1.28429,0.6768,1.25942,0.89758,0.8708,0.91211,0.62144,1.10282,0.54719,1.24356,0.000297061,0.000297061,0.000297061
36,8670.72,1.2891,0.66706,1.25384,0.87753,0.88015,0.90789,0.6212,1.09843,0.54615,1.24144,0.000279063,0.000279063,0.000279063
37,8911.58,1.27857,0.66032,1.25459,0.88601,0.87353,0.90788,0.62497,1.08989,0.544,1.23175,0.000261065,0.000261065,0.000261065
38,9151.49,1.25935,0.6585,1.24579,0.87807,0.88092,0.90802,0.62646,1.09129,0.53846,1.23581,0.000243067,0.000243067,0.000243067
39,9392.46,1.25673,0.64881,1.24469,0.89288,0.86689,0.91276,0.62686,1.08658,0.53941,1.22805,0.000225068,0.000225068,0.000225068
40,9632.39,1.25819,0.6475,1.24695,0.89556,0.8694,0.91494,0.62761,1.08786,0.53303,1.22981,0.00020707,0.00020707,0.00020707
41,9871.34,1.27519,0.5795,1.27558,0.88281,0.88354,0.91777,0.62811,1.08469,0.53692,1.23185,0.000189072,0.000189072,0.000189072
42,10106.8,1.2676,0.57292,1.26925,0.88675,0.88529,0.91471,0.62907,1.08829,0.52335,1.23523,0.000171074,0.000171074,0.000171074
43,10342.6,1.26183,0.56683,1.26408,0.88516,0.88218,0.91511,0.62973,1.08539,0.52534,1.23459,0.000153076,0.000153076,0.000153076
44,10577.1,1.24562,0.55944,1.26205,0.8853,0.88175,0.9134,0.63358,1.07871,0.52616,1.23056,0.000135077,0.000135077,0.000135077
45,10810,1.24012,0.55661,1.25515,0.88791,0.87321,0.90989,0.63028,1.08402,0.52916,1.23609,0.000117079,0.000117079,0.000117079
46,11043.4,1.23272,0.55198,1.25113,0.88705,0.88208,0.91578,0.63216,1.08367,0.52729,1.23567,9.9081e-05,9.9081e-05,9.9081e-05
47,11278,1.23451,0.54662,1.25232,0.88713,0.88347,0.91727,0.63377,1.08381,0.52193,1.23775,8.10828e-05,8.10828e-05,8.10828e-05
48,11512.1,1.22229,0.53844,1.24237,0.89218,0.87166,0.91639,0.63325,1.08456,0.51902,1.23896,6.30846e-05,6.30846e-05,6.30846e-05
49,11746.4,1.21596,0.53568,1.24415,0.8903,0.87609,0.91459,0.63312,1.0824,0.51915,1.23855,4.50864e-05,4.50864e-05,4.50864e-05
